,0
minTimeBetweenSentTnx,0.0
maxTimeBetweenSentTnx,0.0
avgTimeBetweenSentTnx,0.0
minTimeBetweenRecTnx,0.0
maxTimeBetweenRecTnx,0.0
avgTimeBetweenRecTnx,0.0
lifetime,1.0
sentTransactions,0.0
receivedTransactions,0.0
createdContracts,0.0
numUniqSentAddress,0.0
numUniqRecAddress,0.0
minValSent,0.0
maxValSent,0.0
avgValSent,0.0
minValReceived,0.0
maxValReceived,0.0
avgValReceived,0.0
totalTransactions,1.0
totalEtherSent,0.0
totalEtherReceived,0.0
totalEtherSentContracts,0.0
totalEtherBalance,-5348492.722
activityDays,1.0
dailyMax,1.0
ratioRecSent,0.0
ratioSentTotal,0.0
ratioRecTotal,0.0
giniSent,-6.74e-17
giniRec,-9.32e-17
txFreq,0.001144819691
stdBalanceEth,0.0
